PRACTICE_ID,ORG_NPI,TOT_3PRD_PHYS,COMMON_SPEC_OVERALL1,SING_SPEC_FLAG,SING_SPEC_TYPE,PCP_SPEC_FOCUS_FLAG,COMMON_SPEC_PCP1,COMMON_SPEC_PCP2,COMMON_SPEC_PCP3,COMMON_SPEC_PCP4,COMMON_SPEC_PCP5,MED_SPEC_FLAG,COMMON_SPEC_MED1,COMMON_SPEC_MED2,COMMON_SPEC_MED3,COMMON_SPEC_MED4,COMMON_SPEC_MED5,SURG_SPEC_FLAG,COMMON_SPEC_SURG1,COMMON_SPEC_SURG2,COMMON_SPEC_SURG3,COMMON_SPEC_SURG4,COMMON_SPEC_SURG5,OBGYN_SPEC_FLAG,PSYCH_SPEC_FLAG,OTHR_SPEC_FLAG,STATE,ZIP_CD
18364,1952823841,2,General surgery,1,General surgery,0,,,,,,0,,,,,,1,General surgery,,,,,0,0,0,CA,94559
25534,1619227055,4,Pain Management,0,,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,91710
24983,1629128285,1,Neurosurgery,1,Neurosurgery,0,,,,,,0,,,,,,1,Neurosurgery,,,,,0,0,0,CA,91203
24115,1942301445,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,92503
24559,1649304049,3,Obstetrics/gynecology,1,Obstetrics/gynecology,0,,,,,,0,,,,,,0,,,,,,1,0,0,CA,91208
21566,1437263571,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,94565
231,1952445595,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,93455
27435,1013981554,249,Internal medicine,0,,1,Internal medicine,Family practice,Pediatric medicine,,,1,Cardiology,Pulmonary disease,Gastroenterology,Hematology/oncology,Neurology,1,General surgery,Urology,Vascular surgery,Neurosurgery,Cardiac surgery,1,1,0,CA,92270
6478,1659561512,1,General practice,1,General practice,1,General practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,92111
7276,1972933497,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,90712
1809,1295279859,19,Diagnostic radiology,0,,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,95382
22182,1104321959,2,Diagnostic radiology,1,Diagnostic radiology,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,94015
